type	probe	avg.p	avg.fc	genes	direction	Name	UCSC_TFBS
nnMCL	203075_at	1.54578728949062e-05	0.543803988874324	SMAD2	positive	SMAD family member 2(SMAD2)	AML1, ARP1, CDP, E4BP4, EVI1, FOXO1, FOXO4, GATA1, HFH1, HFH3, HNF3B, MEF2, MEIS1BHOXA9, NKX25, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, TATA, AP4, ARNT, ATF6, BRACH, GR, HTF, LMO2COM, NFKAPPAB50, NKX3A, TCF11, TST1, XBP1, AHRARNT, AP2REP, CEBPA, COMP1, E2F, FOXO3, FREAC2, GRE, HMX1, HNF1, HOXA3, MRF2, MYB, MYCMAX, NFY, NKX22, NKX61, OCT, PAX2, PAX5, RFX1, SEF1, SRF, TAL1BETAE47, USF, BACH2, BRN2, CEBPB, COUP, FOXD3, FOXJ2, FREAC3, FREAC4, GFI1, IK1, MSX1, MZF1, NFAT, NGFIC, NMYC, P300, PPARA, CDC5, CHOP, GATA3, RREB1, SPZ1
nnMCL	201204_s_at	2.01632182448063e-05	1.26858699563202	RRBP1	positive	ribosome binding protein 1(RRBP1)	AML1, AREB6, ARP1, CDP, EVI1, FOXO4, FREAC7, GCNF, HLF, HNF3B, IK3, IRF2, ISRE, MEF2, MEIS1, NKX25, OCT1, P53, PAX4, PAX6, POU3F2, POU6F1, PPARG, SOX9, TATA, TCF11MAFG, TGIF, AP1, AP4, ARNT, ATF6, CEBP, CREB, E47, ELK1, GR, HTF, LMO2COM, MIF1, STAT3, TCF11, TST1, YY1, AP2REP, E2F, EGR3, FAC1, FREAC2, GRE, HEN1, HMX1, HNF1, HOX13, HSF1, MYB, MYCMAX, NF1, NFY, NKX61, OCT, OLF1, PAX5, RFX1, RORA1, RP58, USF, ZIC1, ZIC3, ATF, CEBPB, CMYB, COUP, CREBP1, FOXD3, FOXJ2, HAND1E47, IK1, IRF1, IRF7, LYF1, MSX1, MYOD, MYOGNF1, MZF1, NFAT, NGFIC, PPARA, SREBP1, STAT1, AP2, CART1, CHOP, CP2, EN1, MAZR, NCX, PAX3, S8, SPZ1, TAL1ALPHAE47
SMZL	207336_at	1.21258276776868e-16	-4.62375376222842	SOX5	negative	SRY-box 5(SOX5)	AML1, AREB6, ARP1, CDP, CDPCR3HD, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, GCNF, HFH1, HFH3, HLF, HNF3B, HNF4, HSF2, IK3, IRF2, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NFKAPPAB65, NKX25, NRF2, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, STAT, TATA, TCF11MAFG, TGIF, AP1, AP1FJ, AP4, ARNT, ATF6, BRACH, CEBP, CREB, E47, ELK1, GR, HTF, LMO2COM, MIF1, NFE2, NKX3A, ROAZ, STAT3, TAL1BETAITF2, TCF11, TST1, XBP1, YY1, AHR, AHRARNT, AP2REP, BACH1, CDPCR3, CEBPA, CHX10, COMP1, E2F, EGR3, ER, FAC1, FOXO3, FREAC2, GATA, GRE, HEN1, HMX1, HNF1, HOX13, HOXA3, HSF1, LUN1, MRF2, MYB, MYCMAX, NF1, NFY, NKX22, NKX61, NRSF, OCT, OLF1, PAX2, PAX5, RFX1, RORA1, RP58, SEF1, SRF, STAT5B, TAL1BETAE47, TAXCREB, TBP, USF, ZIC1, ZIC3, ZID, ATF, BACH2, BRN2, CDPCR1, CEBPB, CETS1P54, CMYB, COUP, CREBP1, FOXD3, FOXJ2, FREAC3, FREAC4, GATA2, GFI1, HAND1E47, IK1, IK2, IRF1, IRF7, LYF1, MAX, MEIS1AHOXA9, MSX1, MYOD, MYOGNF1, MZF1, NFAT, NFKAPPAB, NFKB, NGFIC, P300, PPARA, SP1, SREBP1, STAT1, STAT5A, CART1, CDC5, CHOP, CP2, CREL, EN1, GATA3, GATA6, LHX3, NCX, PAX3, RREB1, S8, SPZ1, TAL1ALPHAE47
SMZL	218272_at	6.68391262270932e-16	-2.39268653252469	TTC38	negative	tetratricopeptide repeat domain 38(TTC38)	AML1, AREB6, ARP1, CDPCR3HD, E4BP4, EVI1, FOXO4, FREAC7, GATA1, GCNF, HFH3, HLF, HSF2, MEF2, OCT1, PAX4, PBX1, PPARG, STAT, TCF11MAFG, AP1, ARNT, BRACH, NKX3A, ROAZ, TCF11, XBP1, YY1, CDPCR3, ER, GATA, HMX1, HNF1, HOX13, MRF2, MYB, MYCMAX, NFY, NRSF, OLF1, PAX2, RFX1, SEF1, USF, ZIC3, ZID, BACH2, BRN2, CDPCR1, COUP, GFI1, HAND1E47, IRF7, MSX1, NMYC, SREBP1, STAT5A, CART1, NCX, PAX3, RREB1, TAL1ALPHAE47
SMZL	226627_at	4.13092300670957e-14	-2.75492217844408	SEPTIN8	negative	septin 8(SEPT8)	AREB6, ARP1, E4BP4, EVI1, GATA1, GCNF, HFH1, HFH3, HSF2, IK3, IRF2, ISRE, MEF2, NFKAPPAB65, NRF2, OCT1, P53, PAX4, POU3F2, PPARG, RSRFC4, SOX5, SRY, STAT, TATA, TCF11MAFG, AP1, AP1FJ, AP4, ATF6, BRACH, CEBP, CREB, E47, ELK1, MIF1, NFE2, ROAZ, TAL1BETAITF2, TCF11, YY1, AHR, AHRARNT, BACH1, CDPCR3, CHX10, COMP1, E2F, ER, FOXO3, GRE, HEN1, HMX1, HNF1, HOX13, MYCMAX, NFY, OCT, OLF1, PAX2, PAX5, RORA1, RP58, SEF1, SRF, TAXCREB, TBP, ZIC1, ZID, BRN2, CEBPB, CMYB, COUP, CREBP1, FOXD3, FOXJ2, FREAC3, FREAC4, GFI1, HAND1E47, IK2, IRF1, IRF7, MSX1, MYOD, MZF1, NFKB, P300, PPARA, SREBP1, AP2, CART1, CP2, EN1, GATA3, GATA6, TAL1ALPHAE47
SMZL	207480_s_at	6.09758599813836e-13	-3.68580221246351	MEIS2	negative	Meis homeobox 2(MEIS2)	AML1, AREB6, ARP1, CDP, CDPCR3HD, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, GCNF, HFH1, HFH3, HLF, HNF3B, HNF4, HSF2, IK3, IRF2, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NFKAPPAB65, NKX25, NRF2, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, STAT, TATA, TCF11MAFG, TGIF, AP1, AP1FJ, AP4, ARNT, ATF6, BRACH, CEBP, CREB, CREBP1CJUN, E47, ELK1, GR, HTF, LMO2COM, MIF1, NFKAPPAB50, NKX3A, ROAZ, STAT3, TAL1BETAITF2, TCF11, TST1, XBP1, YY1, AHR, AHRARNT, AP2REP, BACH1, CDPCR3, CEBPA, CHX10, COMP1, E2F, EGR3, ER, FAC1, FOXO3, FREAC2, GATA, GRE, HEN1, HMX1, HNF1, HOX13, HOXA3, HSF1, LUN1, MRF2, MYB, MYCMAX, NF1, NFY, NKX22, NKX61, NRSF, OCT, OLF1, PAX2, PAX5, RFX1, RORA1, RP58, SEF1, SRF, STAT5B, TAL1BETAE47, TAXCREB, TBP, USF, ZIC1, ZIC3, ZID, ATF, BACH2, BRN2, CDPCR1, CEBPB, CMYB, COUP, CREBP1, FOXD3, FOXJ2, FREAC3, FREAC4, GATA2, GFI1, HAND1E47, IK1, IK2, IRF1, IRF7, LYF1, MEIS1AHOXA9, MSX1, MYOD, MYOGNF1, MZF1, NFAT, NFKAPPAB, NFKB, NGFIC, NMYC, P300, PPARA, SP1, SREBP1, STAT1, STAT5A, AP2, AP2GAMMA, CART1, CDC5, CHOP, CP2, CREL, EN1, GATA3, GATA6, LHX3, MAZR, NCX, PAX3, RREB1, S8, SPZ1, TAL1ALPHAE47
SMZL	210423_s_at	7.37383894048446e-13	-3.20167150425124	SLC11A1	negative	solute carrier family 11 member 1(SLC11A1)	AML1, AREB6, CDPCR3HD, EVI1, FOXO1, FREAC7, GATA1, GCNF, HLF, HNF4, IRF2, MEF2, NFKAPPAB65, OCT1, P53, PAX4, PAX6, POU3F2, PPARG, STAT, TATA, TCF11MAFG, AP1, AP1FJ, AP4, ARNT, ATF6, BRACH, CEBP, CREB, E47, ELK1, GR, NFE2, NFKAPPAB50, NKX3A, ROAZ, YY1, AHR, AHRARNT, AP2REP, BACH1, E2F, EGR3, ER, HOX13, HOXA3, LUN1, MYCMAX, NF1, NKX22, NRSF, OLF1, PAX2, PAX5, RFX1, RP58, SRF, TAL1BETAE47, TAXCREB, TBP, ZIC3, ZID, CEBPB, COUP, FOXJ2, GATA2, MYOGNF1, NFKB, P300, PPARA, SP1, SREBP1, STAT1, AP2GAMMA, CART1, EN1, PAX3
SMZL	214366_s_at	1.42705154860868e-15	5.65867319975479	ALOX5	positive	arachidonate 5-lipoxygenase(ALOX5)	AML1, AREB6, CDP, CDPCR3HD, EVI1, FOXO4, FREAC7, GATA1, HNF4, HSF2, IRF2, ISRE, MEF2, NFKAPPAB65, OCT1, P53, PBX1, POU6F1, PPARG, RORA2, RSRFC4, SOX5, TATA, TCF11MAFG, AP1, AP4, ARNT, ATF6, BRACH, E47, ELK1, LMO2COM, ROAZ, STAT3, TAL1BETAITF2, TCF11, YY1, COMP1, ER, FAC1, HMX1, MYCMAX, NF1, NFY, NKX22, PAX5, RFX1, SRF, USF, ATF, CDPCR1, CEBPB, FREAC3, GATA2, LYF1, MSX1, MYOD, NFAT, NFKAPPAB, NFKB, PPARA, SREBP1, STAT5A, AP2GAMMA, CART1, CHOP, CREL, EN1, RREB1, TAL1ALPHAE47
SMZL	204004_at	4.772899532457e-13	5.47658951779624	PAWR	positive	pro-apoptotic WT1 regulator(PAWR)	AREB6, CDP, CDPCR3HD, EVI1, FOXO1, FOXO4, FREAC7, GATA1, HFH1, HFH3, HNF3B, HSF2, IK3, IRF2, ISRE, MEIS1BHOXA9, NKX25, OCT1, PAX4, PAX6, PBX1, POU3F2, RSRFC4, SOX5, TATA, AP1, CEBP, CREBP1CJUN, NKX3A, STAT3, TCF11, BACH1, CDPCR3, CEBPA, CHX10, E2F, FOXO3, FREAC2, HEN1, HNF1, HSF1, MYCMAX, NF1, NKX22, NKX61, OCT, PAX5, RP58, SEF1, TAL1BETAE47, USF, BACH2, BRN2, CEBPB, FOXD3, FOXJ2, FREAC3, FREAC4, IK1, IK2, LYF1, MSX1, MYOD, NFKAPPAB, NFKB, NMYC, SP1, STAT5A, CDC5, EN1, LHX3, S8, ZIC2
SMZL	218312_s_at	7.93406020691891e-12	6.73316558427621	ZSCAN18	positive	zinc finger and SCAN domain containing 18(ZSCAN18)	AML1, AREB6, CDP, FOXO4, GATA1, IK3, IRF2, MEF2, OCT1, PAX4, PAX6, STAT, AP1, BRACH, E47, LMO2COM, MIF1, TAL1BETAITF2, TCF11, YY1, E2F, HEN1, HSF1, MYB, NFY, PAX2, RORA1, SRF, TBP, ZID, CETS1P54, FOXJ2, GATA2, IK1, NFKB, STAT5A, RREB1, SPZ1, EGR1
SMZL	203072_at	1.7649208070829e-10	5.5095752655696	MYO1E	positive	myosin IE(MYO1E)	AML1, AREB6, ARP1, CDP, CDPCR3HD, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, HFH1, HFH3, HLF, HNF3B, HNF4, HSF2, IK3, IRF2, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NFKAPPAB65, NKX25, NRF2, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, STAT, TATA, TGIF, AP1, AP4, ATF6, BRACH, CEBP, CREB, ELK1, GR, HTF, LMO2COM, MIF1, NFE2, NFKAPPAB50, NKX3A, ROAZ, STAT3, TAL1BETAITF2, TCF11, XBP1, YY1, AHR, AHRARNT, AP2REP, BACH1, CDPCR3, CEBPA, CHX10, COMP1, E2F, EGR3, FAC1, FOXO3, GATA, HMX1, HNF1, HOX13, HOXA3, HSF1, MRF2, MYB, MYCMAX, NF1, NFY, NKX22, NRSF, OCT, OLF1, PAX2, RFX1, RORA1, RP58, SEF1, SRF, STAT5B, TAL1BETAE47, TAXCREB, USF, ZIC3, BACH2, BRN2, CDPCR1, CEBPB, CETS1P54, CMYB, FOXJ2, FREAC3, FREAC4, GFI1, HAND1E47, IK1, IRF1, IRF7, LYF1, MEIS1AHOXA9, MSX1, MYOD, MYOGNF1, MZF1, NFAT, NFKB, PPARA, SREBP1, STAT1, STAT5A, CART1, CDC5, CHOP, CP2, EN1, GATA6, LHX3, NCX, PAX3, S8, TAL1ALPHAE47
SMZL	235779_at	1.02942920416607e-09	1.68529033302759	ZNF790-AS1	positive	ZNF790 antisense RNA 1(ZNF790-AS1)	
